Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
400,20,41,121.638,290,1
400,20,42,122.901,258,0
400,20,43,122.559,276,0
400,20,44,121.89,274,0
400,20,45,123.414,279,0
400,20,46,122.653,250,0
400,20,47,120.927,271,0
400,20,48,122.53,269,0
400,20,49,122.456,280,0
400,20,50,124.177,287,1
400,30,1,121.15,211,0
400,30,2,124.059,227,1
400,30,3,121.74,209,0
400,30,4,122.069,233,0
400,30,5,123.404,232,0
400,30,6,122.945,227,0
400,30,7,123.564,233,1
400,30,8,122.013,216,0
400,30,9,122.658,245,0
400,30,10,123.258,227,0
400,30,11,122.714,231,1
400,30,12,121.84,240,0
400,30,13,120.914,234,0
400,30,14,123.728,225,0
400,30,15,123.439,227,0
400,30,16,122.268,224,0
400,30,17,121.22,222,0
400,30,18,123.125,214,0
400,30,19,122.331,229,0
400,30,20,122.208,219,0
400,30,21,121.576,226,1
400,30,22,122.365,223,0
400,30,23,123.248,205,1
400,30,24,123.002,206,0
400,30,25,122.4,215,0
400,30,26,122.725,234,1
400,30,27,122.574,237,0
400,30,28,123.801,233,1
400,30,29,123.199,226,1
400,30,30,121.897,226,0
400,30,31,122.68,224,0
400,30,32,123.099,222,0
400,30,33,123.7,240,0
400,30,34,123.638,218,0
400,30,35,122.284,234,1
400,30,36,121.858,213,0
400,30,37,123.709,240,0
400,30,38,121.935,225,0
400,30,39,121.155,247,1
400,30,40,121.586,236,0
400,30,41,123.236,237,0
400,30,42,122.789,226,0
400,30,43,122.563,217,0
400,30,44,123.653,238,0
400,30,45,121.967,233,0
400,30,46,121.946,213,0
400,30,47,122.557,227,1
400,30,48,122.927,240,1
400,30,49,122.914,218,0
400,30,50,122.656,221,1
400,40,1,121.025,175,2
400,40,2,120.736,227,1
400,40,3,122.388,189,0
400,40,4,121.84,180,1
400,40,5,121.699,224,1
400,40,6,121.492,203,3
400,40,7,121.802,180,0
400,40,8,122.006,179,1
400,40,9,122.67,210,0
400,40,10,122.166,208,1
400,40,11,122.408,202,2
400,40,12,122.194,181,1
400,40,13,122.998,196,4
400,40,14,122.711,165,0
400,40,15,122.526,215,1
400,40,16,121.862,199,0
400,40,17,123.36,165,1
400,40,18,122.062,198,0
400,40,19,123.82,188,1
400,40,20,121.146,181,1
400,40,21,122.129,185,0
400,40,22,122.889,181,0
400,40,23,122.689,194,4
400,40,24,121.567,170,1
400,40,25,122.451,207,1
400,40,26,122.756,192,1
400,40,27,122.108,204,1
400,40,28,122.11,192,0
400,40,29,122.663,176,0
400,40,30,122.584,165,1
400,40,31,121.788,184,0
400,40,32,122.443,168,0
400,40,33,121.961,177,1
400,40,34,122.387,168,1
400,40,35,121.696,175,0
400,40,36,122.605,192,1
400,40,37,122.924,166,0
400,40,38,121.713,204,0
400,40,39,122.692,164,0
400,40,40,121.792,173,0
400,40,41,121.115,192,0
400,40,42,122.83,175,1
400,40,43,121.921,191,1
400,40,44,122.586,168,1
400,40,45,122.076,193,0
400,40,46,122.21,176,0
400,40,47,121.517,198,2
400,40,48,121.979,206,1
400,40,49,122.323,181,1
400,40,50,122.729,182,0
400,50,1,120.04,157,1
400,50,2,122.236,162,2
400,50,3,122.614,151,1
400,50,4,121.833,139,2
400,50,5,120.115,132,0
400,50,6,121.33,168,2
400,50,7,123.213,152,4
400,50,8,121.07,138,0
400,50,9,121.742,156,0
400,50,10,121.986,130,1
400,50,11,122.315,142,3
400,50,12,122.649,149,3
400,50,13,123.498,120,0
400,50,14,121.508,175,3
400,50,15,121.78,132,0
400,50,16,122.54,147,1
400,50,17,121.324,137,1
400,50,18,121.663,179,1
400,50,19,122.552,159,3
400,50,20,122.288,160,3
400,50,21,121.01,170,1
400,50,22,120.745,156,1
400,50,23,120.854,145,1
400,50,24,122.344,158,4
