Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,20,23,124.964,68,6
100,20,24,125.436,67,4
100,20,25,122.353,76,8
100,20,26,124.582,67,4
100,20,27,123.286,67,5
100,20,28,124.595,57,2
100,20,29,122.261,74,7
100,20,30,124.201,68,6
100,20,31,124.081,64,2
100,20,32,123.356,63,3
100,20,33,119.983,65,6
100,20,34,123.426,66,5
100,20,35,124.759,59,1
100,20,36,123.176,64,6
100,20,37,124.527,81,9
100,20,38,123.935,62,2
100,20,39,121.827,64,5
100,20,40,124.67,57,2
100,20,41,121.189,67,4
100,20,42,124.139,67,5
100,20,43,120.986,66,1
100,20,44,121.818,70,5
100,20,45,125.288,64,0
100,20,46,123.026,72,6
100,20,47,123.167,67,5
100,20,48,121.411,67,3
100,20,49,124.129,66,3
100,20,50,119.504,63,5
100,30,1,120.226,65,11
100,30,2,124.412,66,6
100,30,3,121.837,51,4
100,30,4,123.14,57,11
100,30,5,123.132,61,7
100,30,6,123.054,55,6
100,30,7,122.322,64,8
100,30,8,120.69,50,7
100,30,9,120.529,53,7
100,30,10,121.821,49,5
100,30,11,122.583,51,5
100,30,12,122.638,59,8
100,30,13,122.598,51,9
100,30,14,124.535,55,6
100,30,15,124.431,57,9
100,30,16,124.337,56,5
100,30,17,122.457,55,5
100,30,18,120.037,65,11
100,30,19,119.475,52,6
100,30,20,124.523,53,6
100,30,21,122.128,52,6
100,30,22,122.466,51,6
100,30,23,123.577,64,8
100,30,24,120.88,55,5
100,30,25,122.093,52,8
100,30,26,121.916,55,7
100,30,27,121.389,60,6
100,30,28,122.757,50,4
100,30,29,122.997,56,9
100,30,30,123.526,56,6
100,30,31,124.58,59,7
100,30,32,122.496,52,8
100,30,33,123.357,61,8
100,30,34,122.228,51,4
100,30,35,121.033,56,6
100,30,36,121.185,69,10
100,30,37,122.205,49,5
100,30,38,120.446,54,7
100,30,39,122.503,57,7
100,30,40,121.809,54,6
100,30,41,122.979,61,8
100,30,42,121.496,56,10
100,30,43,124.183,59,9
100,30,44,124.293,62,9
100,30,45,121.754,67,10
100,30,46,122.443,64,10
100,30,47,124.255,57,12
100,30,48,124.061,51,8
100,30,49,121.526,61,5
100,30,50,120.586,62,11
100,40,1,121.627,50,13
100,40,2,121.528,52,13
100,40,3,121.428,52,15
100,40,4,121.953,56,18
100,40,5,123.259,43,8
100,40,6,122.119,43,11
100,40,7,121.12,45,10
100,40,8,121.728,51,9
100,40,9,121.686,53,14
100,40,10,121.654,45,12
100,40,11,124.024,48,12
100,40,12,122.991,38,7
100,40,13,119.032,54,14
100,40,14,121.602,46,12
100,40,15,121.659,55,15
100,40,16,120.966,54,10
100,40,17,123.072,42,12
100,40,18,120.673,54,14
100,40,19,121.655,56,15
100,40,20,120.437,46,8
100,40,21,121.254,44,11
100,40,22,122.272,36,11
100,40,23,119.127,50,11
100,40,24,122.087,48,11
100,40,25,121.203,48,12
100,40,26,122.248,42,13
100,40,27,123.231,49,12
100,40,28,120.463,46,12
100,40,29,121.719,49,13
100,40,30,120.223,45,8
100,40,31,120.465,44,8
100,40,32,122.256,40,7
100,40,33,121.075,55,13
100,40,34,122.234,42,9
100,40,35,121.618,47,13
100,40,36,121.41,56,13
100,40,37,124.131,44,11
100,40,38,121.663,39,12
100,40,39,122.133,51,14
100,40,40,124.727,62,17
100,40,41,121.191,49,8
100,40,42,122.688,37,6
100,40,43,122.815,56,16
100,40,44,123.365,56,13
100,40,45,116.041,55,12
100,40,46,122.51,44,10
100,40,47,123.231,48,13
100,40,48,121.629,39,6
100,40,49,121.909,42,10
100,40,50,122.57,43,11
100,50,1,121.765,33,15
100,50,2,121.964,42,17
100,50,3,122.985,30,15
100,50,4,122.007,33,16
100,50,5,122.127,37,14
100,50,6,121.589,37,19
100,50,7,124.339,51,22
100,50,8,121.112,40,11
100,50,9,122.483,39,19
100,50,10,121.253,36,17
100,50,11,121.42,40,19
100,50,12,123.574,40,20
100,50,13,123.197,28,16
100,50,14,121.522,46,16
100,50,15,122.711,39,19
100,50,16,121.982,29,13
100,50,17,121.998,35,15
100,50,18,121.771,38,16
100,50,19,121.568,41,16
100,50,20,122.632,37,20
100,50,21,121.631,38,22
100,50,22,121.804,38,15
100,50,23,121.245,35,16
100,50,24,122.42,35,13
100,50,25,120.234,33,15
