Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
200,30,43,124.415,112,2
200,30,44,122.618,112,3
200,30,45,121.855,120,5
200,30,46,122.992,105,1
200,30,47,124.324,120,4
200,30,48,121.438,114,1
200,30,49,123.299,114,2
200,30,50,123.085,112,2
200,40,1,122.55,87,3
200,40,2,122.462,94,5
200,40,3,121.944,89,4
200,40,4,122.036,101,6
200,40,5,121.73,94,3
200,40,6,120.177,91,1
200,40,7,121.261,96,4
200,40,8,120.654,95,2
200,40,9,122.167,93,3
200,40,10,122.42,92,5
200,40,11,123.501,99,3
200,40,12,121.778,91,5
200,40,13,122.33,95,3
200,40,14,121.996,90,3
200,40,15,122.324,82,2
200,40,16,122.246,93,3
200,40,17,121.469,99,2
200,40,18,121.381,103,2
200,40,19,122.161,93,4
200,40,20,119.93,102,4
200,40,21,122.203,88,2
200,40,22,120.814,110,6
200,40,23,120.211,106,5
200,40,24,120.999,85,4
200,40,25,122.491,97,4
200,40,26,121.89,93,2
200,40,27,122.581,93,4
200,40,28,121.332,87,3
200,40,29,121.523,89,3
200,40,30,121.994,91,0
200,40,31,123.354,107,5
200,40,32,122.407,101,4
200,40,33,122.395,84,3
200,40,34,123.112,108,6
200,40,35,122.905,109,5
200,40,36,123.796,92,9
200,40,37,121.564,91,3
200,40,38,122.506,78,5
200,40,39,119.782,103,4
200,40,40,122.801,84,3
200,40,41,122.004,93,1
200,40,42,121.368,87,6
200,40,43,122.693,99,8
200,40,44,120.828,98,2
200,40,45,121.707,91,1
200,40,46,122.498,91,1
200,40,47,120.465,90,2
200,40,48,121.371,104,7
200,40,49,123.703,98,6
200,40,50,122.189,89,4
200,50,1,121.592,71,7
200,50,2,122.959,79,5
200,50,3,121.844,75,5
200,50,4,119.234,75,6
200,50,5,122.414,77,3
200,50,6,122.575,69,5
200,50,7,120.623,66,7
200,50,8,122.195,74,3
200,50,9,120.036,72,7
200,50,10,123.164,65,5
200,50,11,121.215,80,5
200,50,12,122.075,87,6
200,50,13,120.477,100,10
200,50,14,119.679,84,6
200,50,15,122.747,85,3
200,50,16,119.858,78,2
200,50,17,122.483,79,5
200,50,18,121.486,65,4
200,50,19,121.404,73,6
200,50,20,121.878,73,8
200,50,21,121.078,79,5
200,50,22,120.913,77,3
200,50,23,122.067,64,7
200,50,24,122.068,90,11
200,50,25,121.82,79,7
200,50,26,122.417,76,4
200,50,27,122.681,67,2
200,50,28,121.48,89,8
200,50,29,122.502,74,8
200,50,30,120.652,81,6
200,50,31,121.738,75,4
200,50,32,121.356,93,7
200,50,33,121.761,75,6
200,50,34,121.995,69,10
200,50,35,121.848,73,8
200,50,36,123.266,63,5
200,50,37,121.038,71,7
200,50,38,121.699,87,6
200,50,39,121.675,77,2
200,50,40,122.309,74,4
200,50,41,122.426,75,10
200,50,42,122.503,91,4
200,50,43,120.651,81,5
200,50,44,120.774,84,4
200,50,45,122.54,84,7
200,50,46,123.036,76,6
200,50,47,121.781,89,8
200,50,48,123.365,81,5
200,50,49,122.772,72,4
200,50,50,121.569,69,7
300,10,1,123.215,248,0
300,10,2,123.719,246,0
300,10,3,122.194,248,0
300,10,4,124.098,252,0
300,10,5,121.629,244,0
300,10,6,123.134,229,0
300,10,7,123.893,249,0
300,10,8,122.964,235,0
300,10,9,123.332,233,0
300,10,10,125.26,248,0
300,10,11,120.456,243,0
300,10,12,123.119,258,0
300,10,13,123.594,246,0
300,10,14,122.46,247,0
300,10,15,125.626,251,0
300,10,16,123.376,252,0
300,10,17,120.965,249,1
300,10,18,122.223,252,0
300,10,19,124.896,250,0
300,10,20,123.667,240,0
300,10,21,124.259,242,0
300,10,22,122.417,242,0
300,10,23,122.834,248,0
300,10,24,124.548,236,0
300,10,25,122.042,265,0
300,10,26,120.968,248,0
300,10,27,122.245,246,0
300,10,28,121.665,250,0
300,10,29,123.003,248,0
300,10,30,123.268,237,0
300,10,31,123.616,245,0
300,10,32,122.669,251,0
300,10,33,121.14,246,0
300,10,34,124.618,250,0
300,10,35,123.595,251,0
300,10,36,123.212,239,0
300,10,37,123.468,247,0
300,10,38,125.166,245,0
300,10,39,121.734,250,0
300,10,40,124.376,238,1
300,10,41,122.21,249,0
300,10,42,123.375,257,0
300,10,43,123.129,230,0
300,10,44,124.29,255,0
300,10,45,124.548,250,0
300,10,46,123.845,241,0
300,10,47,123.677,239,0
300,10,48,123.66,250,1
300,10,49,121.125,250,0
300,10,50,122.993,260,0
300,20,1,123.687,202,0
300,20,2,123.837,210,1
300,20,3,123.75,215,0
300,20,4,122.233,207,0
300,20,5,123.992,205,1
300,20,6,123.729,214,0
300,20,7,124.822,199,0
300,20,8,121.905,205,1
300,20,9,123.077,219,0
300,20,10,122.86,214,0
300,20,11,121.742,201,0
300,20,12,122.526,212,0
300,20,13,121.793,193,0
300,20,14,123.115,200,0
300,20,15,122.15,226,1
300,20,16,122.492,210,1
300,20,17,124.038,202,0
300,20,18,122.887,192,0
300,20,19,124.516,193,1
300,20,20,122.327,202,0
300,20,21,122.277,199,0
300,20,22,122.163,196,0
300,20,23,121.015,204,1
300,20,24,123.456,202,0
300,20,25,123.951,209,0
300,20,26,122.812,189,0
300,20,27,121.46,223,0
300,20,28,123.794,197,2
300,20,29,122.141,191,0
300,20,30,122.656,206,0
300,20,31,122.282,201,0
300,20,32,125.178,196,1
300,20,33,123.087,219,0
300,20,34,123.323,218,0
300,20,35,123.496,185,0
300,20,36,123.709,219,2
300,20,37,123.607,201,1
300,20,38,124.37,204,1
300,20,39,125.21,182,1
300,20,40,123.294,201,0
300,20,41,123.97,211,0
300,20,42,123.921,212,0
300,20,43,122.693,198,0
300,20,44,123.093,200,1
300,20,45,123.055,205,1
300,20,46,123.02,227,1
300,20,47,122.869,197,0
300,20,48,121.439,202,0
300,20,49,121.478,191,0
300,20,50,121.252,216,0
300,30,1,121.61,168,1
300,30,2,123.366,161,1
300,30,3,123.927,180,2
300,30,4,121.582,151,2
300,30,5,122.576,171,3
300,30,6,122.049,172,0
300,30,7,122.979,189,2
300,30,8,122.168,160,0
300,30,9,122.387,188,3
300,30,10,123.365,164,0
300,30,11,121.175,184,1
300,30,12,123.117,157,2
300,30,13,122.932,142,0
300,30,14,123.536,175,2
300,30,15,122.741,170,0
300,30,16,121.999,188,2
300,30,17,122.639,162,0
300,30,18,123.094,163,2
300,30,19,122.703,164,1
300,30,20,123.408,166,1
300,30,21,125.645,175,1
300,30,22,121.84,182,2
300,30,23,122.357,169,0
300,30,24,122.298,180,1
300,30,25,122.847,188,2
300,30,26,123.442,144,0
300,30,27,123.644,175,0
300,30,28,123.594,167,1
300,30,29,121.821,177,0
300,30,30,120.137,182,2
300,30,31,121.3,194,0
300,30,32,122.975,168,0
300,30,33,122.19,157,0
300,30,34,121.133,162,0
300,30,35,122.733,161,0
300,30,36,122.868,156,0
300,30,37,124.364,158,0
300,30,38,122.285,166,1
300,30,39,122.059,170,2
300,30,40,123.938,171,0
300,30,41,123.012,187,3
300,30,42,121.376,149,0
300,30,43,121.772,191,1
300,30,44,123.193,176,0
300,30,45,122.521,180,0
300,30,46,122.729,171,0
300,30,47,122.819,161,1
300,30,48,120.578,174,0
300,30,49,123.016,158,0
300,30,50,122.28,169,0
300,40,1,122.685,141,1
300,40,2,121.761,135,3
300,40,3,121.736,139,1
300,40,4,121.306,142,1
300,40,5,122.409,154,2
300,40,6,122.247,131,1
300,40,7,122.206,142,2
300,40,8,122.579,136,0
300,40,9,121.791,141,1
300,40,10,122.394,148,4
300,40,11,122.74,144,1
300,40,12,121.222,142,1
300,40,13,120.77,142,1
300,40,14,122.216,129,2
300,40,15,122.923,133,1
300,40,16,122.034,133,0
300,40,17,120.453,152,1
300,40,18,121.878,164,5
300,40,19,121.48,151,1
300,40,20,122.12,136,1
300,40,21,122.247,161,2
300,40,22,122.46,136,0
300,40,23,121.934,136,0
300,40,24,121.182,126,0
300,40,25,120.124,166,1
300,40,26,123.569,136,1
300,40,27,123.39,176,0
300,40,28,122.151,137,5
300,40,29,122.587,162,3
300,40,30,122.631,149,4
300,40,31,121.142,136,1
300,40,32,122.256,137,1
300,40,33,121.307,150,2
300,40,34,122.735,158,1
300,40,35,122.308,134,2
300,40,36,123.124,122,0
300,40,37,121.546,145,4
300,40,38,122.364,141,1
300,40,39,122.356,141,3
300,40,40,121.848,147,6
300,40,41,121.009,137,1
300,40,42,123.156,125,2
300,40,43,121.983,124,2
300,40,44,121.244,128,1
300,40,45,121.866,127,1
300,40,46,121.07,149,1
300,40,47,122.852,142,1
300,40,48,121.214,137,1
300,40,49,121.584,135,1
300,40,50,122.352,135,0
300,50,1,122.068,109,3
300,50,2,121.031,121,2
300,50,3,121.85,101,2
300,50,4,122.127,104,1
300,50,5,121.511,132,2
300,50,6,122.257,113,2
300,50,7,120.917,129,3
300,50,8,120.851,108,4
300,50,9,121.038,122,3
300,50,10,120.966,127,3
300,50,11,122.43,91,2
300,50,12,121.825,100,3
300,50,13,122.73,95,2
300,50,14,120.639,134,2
300,50,15,119.253,144,6
300,50,16,121.014,113,3
300,50,17,123.676,121,1
300,50,18,121.736,113,3
300,50,19,122.588,146,5
300,50,20,122.815,116,5
300,50,21,120.89,106,0
300,50,22,121.308,124,1
300,50,23,120.93,113,1
300,50,24,122.77,101,3
300,50,25,120.647,112,0
300,50,26,121.341,106,2
300,50,27,120.994,96,5
300,50,28,121.505,106,1
300,50,29,120.469,113,2
300,50,30,121.861,116,4
300,50,31,121.893,126,4
300,50,32,120.448,114,3
300,50,33,121.507,110,1
300,50,34,122.574,113,5
300,50,35,120.526,124,3
300,50,36,122.152,127,1
300,50,37,121.811,122,5
300,50,38,121.381,115,2
300,50,39,121.62,141,6
300,50,40,121.615,120,3
300,50,41,122.409,96,2
300,50,42,122.236,108,2
300,50,43,120.702,123,1
300,50,44,120.084,108,3
300,50,45,121.155,122,4
300,50,46,121.528,129,4
300,50,47,123.605,85,2
300,50,48,121.363,125,2
300,50,49,121.669,95,3
300,50,50,122.726,118,3
400,10,1,122.628,347,0
400,10,2,122.829,322,0
400,10,3,123.305,332,0
400,10,4,123.349,338,0
400,10,5,121.909,316,0
400,10,6,121.167,332,1
400,10,7,124.077,332,0
400,10,8,123.852,335,0
400,10,9,123.591,326,0
400,10,10,122.601,347,0
400,10,11,125.439,330,0
400,10,12,123.742,321,0
400,10,13,124.235,353,0
400,10,14,123.479,329,0
400,10,15,121.998,353,0
400,10,16,124.619,328,0
400,10,17,123.385,328,0
400,10,18,125.602,341,0
400,10,19,121.091,344,0
400,10,20,124.323,331,0
400,10,21,122.663,329,0
400,10,22,125.635,313,0
400,10,23,120.72,332,0
400,10,24,123.899,323,0
400,10,25,122.839,332,0
400,10,26,123.464,319,0
400,10,27,123.735,336,0
400,10,28,124.373,322,0
400,10,29,123.65,335,1
400,10,30,123.858,325,0
400,10,31,121.841,342,0
400,10,32,123.427,332,0
400,10,33,121.179,327,0
400,10,34,123.534,337,0
400,10,35,123.764,334,0
400,10,36,123.99,339,0
400,10,37,123.343,323,0
400,10,38,124.506,337,0
400,10,39,123.631,345,0
400,10,40,123.246,342,0
400,10,41,123.359,332,0
400,10,42,122.453,330,0
400,10,43,123.965,345,0
400,10,44,124.529,329,0
400,10,45,124.02,327,0
400,10,46,122.731,333,0
400,10,47,118.977,339,0
400,10,48,122.497,353,0
400,10,49,123.477,330,0
400,10,50,122.895,331,0
400,20,1,121.68,263,0
400,20,2,121.783,251,0
400,20,3,122.457,240,0
400,20,4,123.329,283,2
400,20,5,123.596,265,0
400,20,6,123.27,246,0
400,20,7,123.677,258,0
400,20,8,122.014,289,0
400,20,9,124.165,285,1
400,20,10,122.362,274,1
400,20,11,122.653,269,0
400,20,12,123.73,271,0
400,20,13,124.423,277,0
400,20,14,121.093,286,0
400,20,15,122.819,290,0
400,20,16,120.946,271,0
400,20,17,122.303,276,0
400,20,18,121.841,278,1
400,20,19,124.075,279,0
400,20,20,122.988,283,0
400,20,21,124.59,269,0
400,20,22,123.573,284,1
400,20,23,121.956,276,0
400,20,24,122.972,272,0
400,20,25,124.027,315,1
400,20,26,122.18,282,1
400,20,27,122.754,265,0
400,20,28,123.163,275,0
400,20,29,122.322,275,0
400,20,30,122.026,277,0
400,20,31,122.509,271,0
400,20,32,123.045,278,0
400,20,33,123.661,271,0
400,20,34,122.972,259,0
400,20,35,122.771,242,0
400,20,36,122.753,271,1
400,20,37,123.713,296,0
400,20,38,121.811,274,0
400,20,39,123.09,278,0
400,20,40,121.698,285,0
400,20,41,124.971,270,1
400,20,42,122.618,271,0
